                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.8895,                 3.5411,                 2.3544,                 1.6945,                0.48918,                   0.38,                0.40691,                0.15134,                0.09618,                   0.16,                0.04936,                0.01241,                 1.9614,                  4.184,                 3.3079,                 1.7581,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.9508,                  3.245,                  2.726,                 1.8169,                0.43303,                    0.5,                0.42475,                0.16881,                 0.1898,                   0.22,                0.07876,                0.01904,                 1.8047,                 3.7337,                 3.0362,                 1.6565,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.8941,                 3.2581,                 2.1846,                 1.6562,                0.43303,                    0.5,                0.42475,                0.16881,                 0.1898,                   0.22,                0.07876,                0.01904,                 1.8047,                 3.7337,                 3.0362,                 1.6565,              0.0010965,              0.0010965,              0.0010965
                     50,                  1.756,                 3.4877,                 2.2684,                 1.6629,                0.38012,                   0.38,                0.34087,                0.16145,                0.14016,                   0.18,                0.05343,                0.01443,                  1.799,                 3.8132,                  3.242,                 1.6601,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.8309,                 3.5033,                 2.1503,                 1.6851,                0.41156,                   0.42,                0.30458,                 0.1253,                0.12962,                   0.22,                0.05858,                 0.0147,                 1.8518,                 3.8481,                 3.8851,                 1.7095,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.8354,                 3.5919,                 2.1329,                 1.6194,                0.22543,                    0.5,                0.21405,                0.08944,                0.11745,                   0.26,                0.06183,                0.01356,                 1.8394,                 3.9419,                  4.776,                 1.7183,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.8412,                 3.5583,                 2.1838,                 1.6761,                0.22543,                    0.5,                0.21405,                0.08944,                0.11745,                   0.26,                0.06183,                0.01356,                 1.8394,                 3.9419,                  4.776,                 1.7183,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.6974,                 3.6365,                 1.9345,                 1.5288,                 0.2616,                    0.3,                0.16974,                0.06555,                0.07253,                   0.14,                0.03226,                0.00982,                 1.9595,                 4.0814,                  4.226,                 1.8175,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.9462,                 3.5781,                 2.3061,                 1.6769,                0.45842,                    0.4,                0.35416,                0.13843,                0.12119,                   0.12,                0.05856,                0.02354,                   1.95,                 3.7095,                 3.4741,                 1.8266,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.8043,                 3.4146,                 2.1303,                 1.6679,                0.54386,                   0.46,                0.51666,                0.22813,                0.31143,                   0.26,                0.17615,                0.05037,                 1.7208,                 3.0118,                 2.9111,                 1.7186,               0.001047,               0.001047,               0.001047
