                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 3.0089,                 3.9216,                 3.1078,                0.06143,                0.07143,                 0.0683,                 0.0352,                 2.6816,                 7.9303,                 3.0763,              0.0010895,              0.0010895,              0.0010895
                     51,                 2.2799,                 4.2472,                 2.4188,                 0.0751,                0.07143,                0.04169,                0.01921,                 2.7446,                  9.901,                 3.1526,              0.0010824,              0.0010824,              0.0010824
                     52,                 2.6877,                 4.0117,                 3.1604,                0.06808,                0.13571,                 0.0473,                0.01798,                 2.8288,                 8.0939,                 3.1901,              0.0010753,              0.0010753,              0.0010753
                     53,                 2.7855,                 3.7192,                 3.0484,                0.36718,                0.07143,                0.05057,                0.01985,                 2.7682,                 6.9879,                 3.2348,              0.0010682,              0.0010682,              0.0010682
                     54,                 3.0773,                 4.0507,                 3.3557,                0.39791,                0.10476,                0.06918,                0.02673,                  2.763,                 5.8298,                 3.2218,              0.0010612,              0.0010612,              0.0010612
                     55,                 3.0264,                 3.8784,                 3.1151,                0.40036,                0.12143,                0.07088,                 0.0233,                 2.7647,                 5.0765,                 3.1162,              0.0010541,              0.0010541,              0.0010541
                     56,                 2.8167,                  3.906,                 2.9365,                0.40359,                0.22143,                0.08768,                0.03116,                 2.6071,                 5.1016,                 2.9769,               0.001047,               0.001047,               0.001047
                     57,                 3.1402,                 3.6884,                 3.2138,                0.43211,                0.25568,                0.09591,                0.03646,                 2.4982,                 4.5541,                 2.8913,                0.00104,                0.00104,                0.00104
                     58,                  2.978,                 3.5708,                 3.0782,                0.44477,                 0.1285,                0.09098,                 0.0351,                 2.5041,                 4.3047,                 2.8616,              0.0010329,              0.0010329,              0.0010329
                     59,                 2.9454,                 3.6643,                 3.1238,                0.50324,                 0.1119,                0.09579,                0.03303,                 2.4684,                 4.4576,                 2.8792,              0.0010258,              0.0010258,              0.0010258
                     60,                 2.6354,                 3.5362,                 2.8127,                0.75938,                0.07143,                0.06642,                0.01794,                 2.4771,                 4.7702,                 3.0131,              0.0010187,              0.0010187,              0.0010187
