                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.4932,                  3.081,                 1.9163,                 1.3986,                0.85823,                    0.7,                0.81533,                 0.5056,                0.74426,                    0.6,                0.66464,                0.28131,                   1.43,                 2.6328,                 1.9858,                 1.3188,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.4749,                 3.0071,                 1.6468,                 1.3763,                0.85823,                    0.7,                0.81533,                 0.5056,                0.74426,                    0.6,                0.66464,                0.28131,                   1.43,                 2.6328,                 1.9858,                 1.3188,             0.00048114,             0.00048114,             0.00048114
                     70,                  1.345,                 2.7141,                 1.7326,                 1.2581,                 0.7641,                0.77743,                0.83086,                0.52278,                0.70234,                0.70794,                0.72261,                0.28436,                 1.3986,                 2.5878,                 1.8854,                 1.3029,               0.000467,               0.000467,               0.000467
                     71,                 1.4544,                 2.7794,                 1.7586,                 1.3107,                  0.821,                   0.76,                0.82356,                0.52881,                0.72475,                   0.68,                0.71244,                0.26773,                 1.3676,                 2.5276,                 1.9045,                 1.2807,             0.00045285,             0.00045285,             0.00045285
                     72,                  1.501,                 2.8927,                 2.0084,                 1.4502,                0.72811,                0.69634,                0.74456,                0.44605,                0.67396,                   0.62,                0.63704,                 0.2337,                 1.3351,                 2.5069,                 1.9791,                 1.2636,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4537,                 2.7305,                 1.7738,                 1.2837,                0.72811,                0.69634,                0.74456,                0.44605,                0.67396,                   0.62,                0.63704,                 0.2337,                 1.3351,                 2.5069,                 1.9791,                 1.2636,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4819,                 2.8863,                 1.7867,                 1.3662,                0.55529,                   0.68,                0.67274,                0.38796,                0.59282,                  0.466,                0.48592,                 0.1918,                 1.3378,                 2.4771,                 2.0387,                 1.2688,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.4776,                 3.1212,                  1.807,                 1.3404,                0.66986,                   0.62,                0.67564,                0.38447,                0.54581,                   0.48,                0.46028,                0.17708,                 1.3661,                 2.4989,                 2.0965,                 1.2898,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4799,                 2.9773,                   1.73,                 1.4138,                0.72477,                   0.66,                0.71944,                0.41274,                0.53189,                    0.5,                0.44225,                0.18564,                 1.4048,                 2.5624,                  2.043,                 1.3107,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.3459,                 2.5862,                 1.5771,                  1.305,                0.72477,                   0.66,                0.71944,                0.41274,                0.53189,                    0.5,                0.44225,                0.18564,                 1.4048,                 2.5624,                  2.043,                 1.3107,             0.00036797,             0.00036797,             0.00036797
