                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.5664,                 3.9875,                  3.189,                0.07621,                0.32857,                 0.1022,                0.03616,                 2.5558,                 7.6738,                 3.0676,             0.00072164,             0.00072164,             0.00072164
                     53,                 2.8214,                 3.6986,                 3.0834,                0.40105,                0.25462,                0.12357,                0.05045,                 2.5344,                 9.4167,                 3.0736,              0.0007075,              0.0007075,              0.0007075
                     54,                 2.8133,                 4.1021,                 3.3063,                0.44778,                0.21667,                0.12152,                0.04091,                 2.5816,                 7.5923,                 3.0777,             0.00069335,             0.00069335,             0.00069335
                     55,                 3.1991,                 3.9225,                 3.2225,                0.42038,                0.21667,                0.11846,                0.03748,                 2.6109,                 6.5839,                 3.0948,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.8637,                 3.7301,                 3.0271,                0.73303,                0.11905,                0.10843,                0.03531,                 2.6179,                 5.6209,                 3.0646,             0.00066506,             0.00066506,             0.00066506
                     57,                 3.0727,                 3.6086,                 3.0342,                0.76091,                0.11905,                0.12995,                0.04143,                 2.5854,                 5.2313,                 3.0267,             0.00065091,             0.00065091,             0.00065091
                     58,                 2.8559,                 3.6357,                 3.1654,                0.76048,                0.11905,                0.13956,                 0.0456,                 2.5188,                  5.272,                 2.9381,             0.00063676,             0.00063676,             0.00063676
                     59,                 2.7866,                 3.5814,                 2.9824,                0.55282,                0.17619,                0.17237,                0.06229,                 2.5127,                   5.41,                 2.9051,             0.00062262,             0.00062262,             0.00062262
                     60,                 2.7975,                 3.5459,                 3.0273,                0.51844,                0.19286,                0.16701,                0.05492,                 2.5296,                 4.9629,                 2.8743,             0.00060847,             0.00060847,             0.00060847
                     61,                  2.541,                 3.7191,                 2.6968,                 0.4576,                0.15952,                 0.1373,                0.04988,                 2.6138,                 4.7799,                 2.9145,             0.00059432,             0.00059432,             0.00059432
                     62,                 2.6049,                  3.863,                 2.8951,                0.43884,                0.15952,                0.11957,                0.04117,                 2.7147,                 4.5226,                 2.9615,             0.00058017,             0.00058017,             0.00058017
                     63,                 2.9082,                 3.8441,                 3.2163,                0.41167,                0.17619,                 0.1208,                0.04323,                  2.722,                 4.1801,                 2.9708,             0.00056603,             0.00056603,             0.00056603
                     64,                 2.7985,                 3.6151,                  2.955,                0.40332,                0.30952,                0.14242,                0.04668,                 2.6014,                 3.9643,                 2.8872,             0.00055188,             0.00055188,             0.00055188
                     65,                 2.8956,                 3.7827,                  2.774,                0.53038,                0.24762,                0.11183,                0.04399,                 2.5129,                 3.7281,                 2.7987,             0.00053773,             0.00053773,             0.00053773
                     66,                 2.7378,                 3.3538,                 3.0136,                0.45821,                0.19989,                0.09721,                0.03533,                  2.457,                 3.6244,                 2.7885,             0.00052359,             0.00052359,             0.00052359
                     67,                 2.5636,                 3.6212,                 2.9899,                0.46417,                 0.1119,                 0.0895,                0.02865,                 2.4432,                 3.7326,                 2.8005,             0.00050944,             0.00050944,             0.00050944
                     68,                  2.621,                 3.8264,                 2.8763,                 0.4707,                0.15952,                0.09132,                0.02888,                  2.436,                 3.8837,                 2.8025,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.5547,                 3.6789,                 2.8998,                0.41582,                0.17619,                0.10174,                0.03199,                 2.3933,                 3.8782,                 2.7797,             0.00048114,             0.00048114,             0.00048114
                     70,                 2.8455,                 3.4504,                 2.9503,                0.39805,                0.16303,                0.10416,                0.03172,                 2.3641,                 3.7396,                 2.7572,               0.000467,               0.000467,               0.000467
                     71,                  1.994,                 3.9652,                 2.2437,                0.43194,                0.22619,                0.11631,                0.04017,                 2.3665,                 3.6765,                  2.757,             0.00045285,             0.00045285,             0.00045285
                     72,                 2.7494,                  3.458,                 3.0183,                0.43749,                0.11783,                0.12611,                0.04344,                 2.3677,                 3.6989,                 2.7604,              0.0004387,              0.0004387,              0.0004387
                     73,                 2.6353,                 3.5484,                 2.8549,                0.45644,                0.18993,                  0.134,                 0.0479,                 2.4019,                 3.7667,                 2.7572,             0.00042456,             0.00042456,             0.00042456
                     74,                 3.1433,                 4.4797,                 3.2482,                0.47343,                0.15952,                0.13234,                0.04628,                  2.456,                 3.8905,                 2.7654,             0.00041041,             0.00041041,             0.00041041
